trunkId, totalCost, maxCost, totalIterations, maxIter, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
44,57.4333333333333,3446,9,9,12,12,56.7666666666667,1.28571428571429,1,9,12,9
50,46.3333333333333,2780,7,7,9,9,42.35,1.125,1,7,9,7
