trunk,fromLocation,toLocation,loadedFor,lanes, branchCost,wTCost,linkId,thisBranch.myMeasureType
44,359.8344910_051.5208010,359.8357120_051.5209940,9,3,837,3446,44,1
44,359.8344400_051.5207940,359.8344910_051.5208010,8,3,16,3446,9,1
44,359.8328060_051.5205140,359.8344400_051.5207940,8,3,921,3446,49,1
44,359.8298840_051.5200560,359.8328060_051.5205140,6,2,424,3446,42,1
44,359.8291160_051.5199890,359.8328060_051.5205140,6,2,401,3446,43,1
44,359.8344780_051.5207880,359.8344910_051.5208010,9,1,6,3446,37,1
44,359.8345140_051.5206890,359.8344780_051.5207880,8,2,76,3446,7,1
44,359.8345170_051.5206800,359.8345140_051.5206890,8,2,18,3446,10,1
44,359.8342880_051.5200840,359.8345170_051.5206800,7,2,371,3446,24,1
44,359.8339630_051.5199370,359.8342880_051.5200840,5,1,20,3446,23,1
44,359.8328230_051.5197040,359.8339630_051.5199370,3,2,143,3446,21,1
44,359.8319860_051.5195390,359.8328230_051.5197040,3,2,213,3446,2,1
50,359.8328130_051.5203980,359.8302050_051.5198230,7,2,1014,2780,50,1
50,359.8345100_051.5206830,359.8328130_051.5203980,6,3,1064,2780,40,1
50,359.8345250_051.5206850,359.8345100_051.5206830,5,3,18,2780,1,1
50,359.8348560_051.5207160,359.8345250_051.5206850,5,3,155,2780,12,1
50,359.8358840_051.5209100,359.8348560_051.5207160,3,3,242,2780,38,1
50,359.8359380_051.5209170,359.8358840_051.5209100,3,3,21,2780,32,1
50,359.8370560_051.5211210,359.8359380_051.5209170,3,3,256,2780,30,1
50,359.8359370_051.5208990,359.8358840_051.5209100,1,1,1,2780,34,1
50,359.8361920_051.5205440,359.8359370_051.5208990,1,1,9,2780,33,1
