trunk,fromLocation,toLocation,loadedFor,lanes, branchCost,wTCost,linkId,thisBranch.myMeasureType
44,359.8344910_051.5208010,359.8357120_051.5209940,7,3,563,2045,44,1
44,359.8344400_051.5207940,359.8344910_051.5208010,6,3,12,2045,9,1
44,359.8328060_051.5205140,359.8344400_051.5207940,6,3,591,2045,49,1
44,359.8298840_051.5200560,359.8328060_051.5205140,4,2,254,2045,42,1
44,359.8291160_051.5199890,359.8328060_051.5205140,4,2,221,2045,43,1
44,359.8344780_051.5207880,359.8344910_051.5208010,7,1,4,2045,37,1
44,359.8345140_051.5206890,359.8344780_051.5207880,6,2,54,2045,7,1
44,359.8345170_051.5206800,359.8345140_051.5206890,6,2,12,2045,10,1
44,359.8342880_051.5200840,359.8345170_051.5206800,5,2,229,2045,24,1
44,359.8339630_051.5199370,359.8342880_051.5200840,3,1,12,2045,23,1
44,359.8328230_051.5197040,359.8339630_051.5199370,1,2,32,2045,21,1
44,359.8319860_051.5195390,359.8328230_051.5197040,1,2,61,2045,2,1
50,359.8328130_051.5203980,359.8302050_051.5198230,5,2,638,1414,50,1
50,359.8345100_051.5206830,359.8328130_051.5203980,4,3,608,1414,40,1
50,359.8345250_051.5206850,359.8345100_051.5206830,3,3,10,1414,1,1
50,359.8348560_051.5207160,359.8345250_051.5206850,3,3,71,1414,12,1
50,359.8358840_051.5209100,359.8348560_051.5207160,1,3,35,1414,38,1
50,359.8359380_051.5209170,359.8358840_051.5209100,1,3,7,1414,32,1
50,359.8370560_051.5211210,359.8359380_051.5209170,1,3,45,1414,30,1
