trunk,fromLocation,toLocation,loadedFor,lanes, branchCost,wTCost,linkId,thisBranch.myMeasureType
44,359.8344910_051.5208010,359.8357120_051.5209940,6,3,442,1443,44,1
44,359.8344400_051.5207940,359.8344910_051.5208010,5,3,10,1443,9,1
44,359.8328060_051.5205140,359.8344400_051.5207940,5,3,436,1443,49,1
44,359.8298840_051.5200560,359.8328060_051.5205140,3,2,176,1443,42,1
44,359.8291160_051.5199890,359.8328060_051.5205140,3,2,140,1443,43,1
44,359.8344780_051.5207880,359.8344910_051.5208010,6,1,3,1443,37,1
44,359.8345140_051.5206890,359.8344780_051.5207880,5,2,43,1443,7,1
44,359.8345170_051.5206800,359.8345140_051.5206890,5,2,9,1443,10,1
44,359.8342880_051.5200840,359.8345170_051.5206800,4,2,176,1443,24,1
44,359.8339630_051.5199370,359.8342880_051.5200840,2,1,8,1443,23,1
50,359.8328130_051.5203980,359.8302050_051.5198230,4,2,458,929,50,1
50,359.8345100_051.5206830,359.8328130_051.5203980,3,3,427,929,40,1
50,359.8345250_051.5206850,359.8345100_051.5206830,2,3,6,929,1,1
50,359.8348560_051.5207160,359.8345250_051.5206850,2,3,38,929,12,1
