trunk,fromLocation,toLocation,loadedFor,lanes, branchCost,wTCost,linkId,thisBranch.myMeasureType
44,359.8344910_051.5208010,359.8357120_051.5209940,8,3,695,2719,44,1
44,359.8344400_051.5207940,359.8344910_051.5208010,7,3,14,2719,9,1
44,359.8328060_051.5205140,359.8344400_051.5207940,7,3,756,2719,49,1
44,359.8298840_051.5200560,359.8328060_051.5205140,5,2,332,2719,42,1
44,359.8291160_051.5199890,359.8328060_051.5205140,5,2,302,2719,43,1
44,359.8344780_051.5207880,359.8344910_051.5208010,8,1,5,2719,37,1
44,359.8345140_051.5206890,359.8344780_051.5207880,7,2,65,2719,7,1
44,359.8345170_051.5206800,359.8345140_051.5206890,7,2,15,2719,10,1
44,359.8342880_051.5200840,359.8345170_051.5206800,6,2,297,2719,24,1
44,359.8339630_051.5199370,359.8342880_051.5200840,4,1,16,2719,23,1
44,359.8328230_051.5197040,359.8339630_051.5199370,2,2,85,2719,21,1
44,359.8319860_051.5195390,359.8328230_051.5197040,2,2,137,2719,2,1
50,359.8328130_051.5203980,359.8302050_051.5198230,6,2,818,2052,50,1
50,359.8345100_051.5206830,359.8328130_051.5203980,5,3,828,2052,40,1
50,359.8345250_051.5206850,359.8345100_051.5206830,4,3,14,2052,1,1
50,359.8348560_051.5207160,359.8345250_051.5206850,4,3,104,2052,12,1
50,359.8358840_051.5209100,359.8348560_051.5207160,2,3,134,2052,38,1
50,359.8359380_051.5209170,359.8358840_051.5209100,2,3,14,2052,32,1
50,359.8370560_051.5211210,359.8359380_051.5209170,2,3,140,2052,30,1
