linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
4992,396,195,2927,2045,1142,0,3,4
4990,396,195,3206,2748,1065,0,3,4
4988,396,195,3217,1539,1065,0,3,4
5234,396,195,2881,2428,1065,0,3,4
2658,396,195,2110,1547,1065,304,3,4
4476,0,0,0,0,84802,0,1,1
4505,2063,880,2854,1554,17248,0,5,7
4591,1380,440,2928,1275,229773,0,4,7
712,313,290,1393,528,1583,68,2,3
1065,2059,1457,4111,2045,290462,0,8,12
1064,1886,1457,4037,2400,264410,0,4,6
4071,174,156,2586,1956,5536,0,3,3
4626,655,301,3153,1735,4435,0,7,9
621,344,269,3350,1764,4742,3161,2,6
3281,271,271,463,463,664,0,2,2
2114,1093,692,2980,2494,19156,741,5,10
4619,348,348,2487,2487,7135,0,1,2
2582,521,357,3039,2021,6804,438,6,7
4646,1770,1102,3672,1997,311558,0,8,13
4254,1770,1102,3344,1742,310726,0,8,13
2167,1770,1102,3858,1979,310726,0,8,13
2166,2225,1102,3455,2489,308836,10523,9,14
2472,455,295,2538,1906,3132,28,6,6
3656,1770,886,3872,2786,171923,0,4,6
3487,1533,554,2746,1963,147102,0,5,6
5030,693,328,2582,1586,633,0,3,3
5032,693,328,1396,375,633,0,3,3
5036,693,328,2826,2433,633,0,3,3
340,785,436,2819,2304,1519,0,8,9
2323,625,392,2697,1974,2190,248,5,7
3232,931,434,3057,2378,13728,0,6,10
3764,2225,919,3645,2550,305102,0,6,9
3763,2225,919,2683,2184,305102,0,6,9
2645,250,188,861,624,6194,2968,2,3
4731,250,188,1915,878,1740,0,2,3
166,498,250,3130,1337,1717,0,5,6
314,134,134,1523,1523,278,5,2,2
2155,1090,624,3134,1996,5596,1098,6,8
2202,483,205,3294,2277,3747,144,4,5
4949,217,65,3384,2357,15032,0,2,4
10,1770,1072,3068,2016,271233,505,7,9
2203,483,106,2564,2223,1641,27,3,3
471,861,615,3467,2337,3972,92,4,4
1100,1011,470,2878,2579,2439,644,2,5
1099,768,72,1709,703,1577,0,2,3
4821,245,72,3833,668,1063,0,2,3
2544,1212,587,3070,2010,4049,0,6,10
2543,1212,587,3656,2699,9699,0,8,13
783,678,344,3327,2688,3417,331,9,13
1241,0,0,0,0,1226,796,1,1
4172,0,0,0,0,1226,0,1,1
4257,397,397,1016,1016,5726,0,2,2
4677,945,897,2203,1020,22747,0,3,3
2949,945,897,1784,1076,23609,4016,3,3
3186,336,257,2341,2022,4717,0,1,5
3371,1802,1515,3754,2349,302478,0,6,8
3302,633,478,2469,714,1477,0,3,3
1662,352,256,3540,2415,2067,158,2,3
274,708,460,3606,2372,2691,820,5,8
3252,1190,425,3324,1966,5575,0,5,7
1690,425,239,2774,1933,2540,38,5,5
4676,0,0,0,0,951,0,1,1
2640,502,344,1919,1234,14714,3797,3,3
234,502,344,1648,1367,14317,4244,3,3
2641,502,344,4165,4135,11463,399,2,3
1833,239,125,2725,2095,2607,953,3,5
2727,1207,601,3799,2454,7057,344,9,11
1559,201,201,3401,3401,3664,2232,1,2
1856,707,408,3549,1710,3650,571,7,8
1560,433,236,2908,1959,3669,536,2,5
1114,154,154,1432,1432,2538,592,2,2
4496,136,136,1603,1603,5849,0,2,2
4495,136,136,2671,2671,5849,0,2,2
2392,184,131,3961,2167,5814,230,3,3
775,345,179,2345,1481,3660,0,3,5
774,394,171,2653,1952,4171,0,5,8
1814,1106,817,3037,1916,13464,2728,9,13
2443,1106,630,4325,2798,7914,74,7,9
2798,1137,489,3311,2483,6755,0,11,17
789,252,163,2131,1328,664,0,3,3
788,252,163,2736,2341,664,0,3,3
1683,0,0,0,0,801,228,1,1
1684,0,0,0,0,611,189,1,1
2068,720,720,1299,1299,1082,586,1,2
4384,720,720,1344,1344,1082,0,1,2
4056,0,0,0,0,739,0,1,1
506,1692,786,3454,2545,64441,1,7,12
636,1692,786,3061,1945,40390,542,8,12
4556,1526,1371,2929,2064,7704,0,6,7
4555,1526,1371,2976,2035,7704,0,6,7
711,1565,1371,3101,2035,9306,0,5,8
710,1565,1371,3530,2729,9306,790,5,8
110,522,287,3104,1803,8850,9,5,8
127,511,270,2592,2371,1637,26,6,6
4211,1212,1076,2884,1568,7946,0,5,6
5149,261,137,2570,2235,1758,0,4,5
4797,1207,635,2921,2128,4734,0,6,7
173,722,534,3917,2522,1346,344,4,6
1639,306,175,2800,1521,4663,323,3,4
2424,509,382,3829,2412,2985,0,5,6
2423,509,382,2823,1473,2985,0,5,6
2422,509,382,3875,2616,3166,118,6,7
2421,607,423,3229,2165,8882,514,11,13
1499,718,517,2906,1714,7154,0,9,12
1498,718,517,3808,2633,7299,684,8,10
40,639,256,3047,1412,511,0,3,3
39,639,256,2081,911,511,9,3,3
689,182,182,2809,2809,407,189,2,2
350,1489,1195,3320,2524,179078,131,5,5
757,747,565,3692,2484,3042,662,6,9
474,475,386,3408,2424,6960,88,5,5
4263,0,0,0,0,6492,0,1,1
244,282,202,2389,1733,2225,18,4,5
3237,237,128,3170,2217,2052,0,2,3
2964,1100,788,2849,1588,9083,0,9,14
2963,1501,842,3443,2295,10070,0,13,16
4590,1374,615,2510,2011,307764,0,4,6
62,588,427,3510,2137,7346,0,10,13
61,582,362,4250,2366,4343,0,9,12
60,582,387,3073,2221,4584,0,10,13
2115,264,29,3788,962,3253,1142,3,3
5040,264,29,1951,1444,3253,0,3,3
4839,654,321,3324,2233,11801,0,5,10
2587,747,398,4015,2730,1152,288,6,7
620,490,269,2575,1319,1780,510,4,5
1809,659,310,3170,2350,1950,470,4,6
55,791,435,3358,1922,2974,156,7,8
3245,688,347,2338,1319,1583,0,3,3
3243,0,0,0,0,65,0,1,1
3251,0,0,0,0,65,0,1,1
