trunkId, day1, day2, day3, day4, day5,
8457,7,0,2,19,0,
986,7,12,0,17,12,
7978,15,52,0,0,0,
3662,70,0,0,55,0,
6574,18,22,32,32,57,
1688,61,0,0,0,0,
3198,17,0,0,10,0,
7069,21,0,25,70,76,
5374,8,0,0,6,5,
2896,8,0,5,0,0,
6634,2,0,17,52,0,
2256,26,8,18,27,20,
3769,58,30,34,28,0,
4669,40,69,69,0,33,
5070,44,8,0,19,39,
6140,70,0,0,0,0,
7835,43,39,0,12,0,
1485,46,12,57,29,0,
866,6,67,56,0,61,
3409,5,0,10,59,0,
3938,12,0,51,0,14,
3784,22,0,0,52,10,
5141,56,0,0,54,53,
3649,54,0,54,56,0,
6162,25,10,0,7,16,
6653,9,0,0,0,0,
5814,2,15,5,58,0,
1076,69,1,79,51,0,
8660,58,0,0,0,49,
4964,38,0,14,0,36,
4709,17,24,2,21,23,
7454,58,0,61,60,60,
7925,7,12,0,53,56,
903,55,55,60,0,6,
4545,9,6,0,18,25,
2724,14,8,9,0,0,
1217,4,8,0,4,0,
4895,15,7,6,7,17,
6087,60,0,0,0,36,
7228,5,0,0,0,6,
2072,49,0,12,8,0,
3130,92,0,0,0,0,
8419,75,0,71,0,70,
8534,68,59,68,0,34,
2399,73,71,4,66,0,
5111,46,0,0,0,0,
4965,60,51,33,37,22,
5262,14,22,0,0,37,
7269,68,0,0,60,68,
5739,23,0,32,19,0,
6347,17,9,10,0,0,
5743,69,75,77,1,0,
8786,20,42,21,53,19,
171,24,10,21,5,0,
385,34,58,62,0,36,
7398,55,55,56,45,54,
4475,48,0,13,42,27,
6981,55,0,84,32,53,
7930,10,37,0,10,0,
8049,33,0,0,5,38,
3585,23,27,20,0,18,
162,52,27,0,0,6,
569,45,15,40,17,25,
1224,18,10,11,0,20,
8183,67,13,26,0,0,
2381,67,70,71,66,70,
4868,58,0,5,0,0,
5127,17,11,0,16,0,
6625,43,40,12,10,16,
7212,19,0,0,14,6,
7900,22,5,2,0,10,
1944,4,0,0,0,0,
1572,18,31,12,14,11,
1783,20,19,16,19,0,
1310,30,13,0,49,0,
6923,20,0,0,18,0,
0,5,9,0,9,4,
370,49,0,52,0,10,
