"_id",trunkId,loadedFor,startIteration,wtCost,generation,endIteration,key,isLeaf,totalBranches,time,maxCost,costProb,maxTime,timeProb
6089297724ac2d65e8da69fc,2931,6,5,62,0,7,2931-5,true,0,3,62,1,3,1
6089297724ac2d65e8da69fd,1907,3,2,79,0,7,1907-2,true,0,6,79,1,6,1
6089297724ac2d65e8da69fe,353,3,8,317,0,8,353-8,true,0,1,317,1,1,1
6089297724ac2d65e8da69ff,1455,7,6,130,0,8,1455-6,true,0,3,130,1,3,1
6089297724ac2d65e8da6a00,2085,9,8,60,0,8,2085-8,true,0,1,60,1,1,1
6089297724ac2d65e8da6a01,2610,4,3,98,0,9,2610-3,true,0,7,98,1,7,1
6089297724ac2d65e8da6a02,2877,3,9,62,0,9,2877-9,true,0,1,62,1,1,1
6089297724ac2d65e8da6a03,725,8,7,70,1,10,725-7,true,0,4,258,0.7865853658536586,5,0.5555555555555556
6089297724ac2d65e8da6a04,1097,8,7,99,0,10,1097-7,true,0,4,99,1,4,1
6089297724ac2d65e8da6a05,387,2,8,113,0,10,387-8,true,0,3,113,1,3,1
6089297724ac2d65e8da6a06,2059,2,9,105,0,10,2059-9,true,0,2,105,1,2,1
6089297724ac2d65e8da6a07,1195,6,10,199,0,12,1195-10,true,0,3,199,1,3,1
6089297724ac2d65e8da6a08,387,6,12,70,0,12,387-12,true,0,1,70,1,1,1
6089297724ac2d65e8da6a09,157,11,10,142,0,13,157-10,true,0,4,142,1,4,1
6089297724ac2d65e8da6a0a,1778,2,1,523,0,13,1778-1,false,0,13,523,1,13,1
6089297724ac2d65e8da6a0b,1445,4,13,98,0,13,1445-13,true,0,1,98,1,1,1
6089297724ac2d65e8da6a0c,2460,4,16,99,0,16,2460-16,true,0,1,99,1,1,1
6089297724ac2d65e8da6a0d,1786,4,15,82,0,16,1786-15,true,0,2,82,1,2,1
6089297724ac2d65e8da6a0e,205,6,5,276,0,17,205-5,true,0,13,276,1,13,1
6089297724ac2d65e8da6a0f,279,4,17,93,0,17,279-17,true,0,1,93,1,1,1
6089297724ac2d65e8da6a10,2292,1,17,65,0,17,2292-17,true,0,1,65,1,1,1
6089297724ac2d65e8da6a11,229,2,17,70,0,17,229-17,true,0,1,70,1,1,1
6089297724ac2d65e8da6a12,2690,2,20,75,0,20,2690-20,false,0,1,75,1,1,1
6089297724ac2d65e8da6a13,253,4,21,100,1,21,253-21,true,0,1,100,0.5714285714285714,1,0.5
6089297724ac2d65e8da6a14,867,2,20,135,0,21,867-20,true,0,2,135,1,2,1
6089297724ac2d65e8da6a15,1771,7,23,69,0,24,1771-23,true,0,2,69,1,2,1
6089297724ac2d65e8da6a16,1170,3,23,136,0,24,1170-23,true,0,2,136,1,2,1
6089297724ac2d65e8da6a17,1915,6,24,430,0,25,1915-24,true,0,2,430,1,2,1
6089297724ac2d65e8da6a18,1953,3,25,68,0,25,1953-25,true,0,1,68,1,1,1
6089297724ac2d65e8da6a19,1822,6,26,93,0,26,1822-26,true,0,1,93,1,1,1
6089297724ac2d65e8da6a1a,126,3,24,97,0,26,126-24,true,0,3,97,1,3,1
6089297724ac2d65e8da6a1b,437,2,22,1043,0,27,437-22,true,0,6,1043,1,6,1
6089297724ac2d65e8da6a1c,148,2,27,103,0,27,148-27,true,0,1,103,1,1,1
6089297724ac2d65e8da6a1d,2172,5,27,103,0,28,2172-27,true,0,2,103,1,2,1
6089297724ac2d65e8da6a1e,631,4,27,1381,0,28,631-27,false,0,2,1381,1,2,1
6089297724ac2d65e8da6a1f,136,4,28,81,1,28,136-28,true,0,1,190,0.7011070110701108,2,0.6666666666666666
6089297724ac2d65e8da6a20,1987,3,27,86,0,28,1987-27,true,0,2,86,1,2,1
6089297724ac2d65e8da6a21,2410,2,28,87,0,28,2410-28,true,0,1,87,1,1,1
6089297724ac2d65e8da6a22,1591,7,28,79,0,29,1591-28,true,0,2,79,1,2,1
6089297724ac2d65e8da6a23,123,2,29,115,0,29,123-29,false,0,1,115,1,1,1
6089297724ac2d65e8da6a24,2580,4,29,64,0,29,2580-29,true,0,1,64,1,1,1
6089297724ac2d65e8da6a25,65,3,29,69,0,29,65-29,true,0,1,69,1,1,1
6089297724ac2d65e8da6a26,1342,10,30,77,0,30,1342-30,true,0,1,77,1,1,1
6089297724ac2d65e8da6a27,631,7,30,95,0,30,631-30,true,0,1,95,1,1,1
6089297724ac2d65e8da6a28,829,3,27,180,0,30,829-27,false,0,4,180,1,4,1
6089297724ac2d65e8da6a29,1860,6,30,62,0,30,1860-30,true,0,1,62,1,1,1
6089297724ac2d65e8da6a2a,2857,6,30,127,1,30,2857-30,true,0,1,127,0.5247933884297521,1,0.5
6089297724ac2d65e8da6a2b,470,5,30,277,0,30,470-30,true,0,1,277,1,1,1
6089297724ac2d65e8da6a2c,2717,4,30,80,0,30,2717-30,true,0,1,80,1,1,1
6089297724ac2d65e8da6a2d,2592,2,30,260,0,30,2592-30,false,0,1,260,1,1,1
6089297724ac2d65e8da6a2e,2223,2,30,124,0,30,2223-30,true,0,1,124,1,1,1
6089297724ac2d65e8da6a2f,1642,2,30,98,0,31,1642-30,true,0,2,98,1,2,1
6089297724ac2d65e8da6a30,404,3,30,119,0,31,404-30,true,0,2,119,1,2,1
6089297724ac2d65e8da6a31,2331,2,25,771,0,31,2331-25,true,0,7,771,1,7,1
6089297724ac2d65e8da6a32,1850,2,27,290,0,31,1850-27,true,0,5,290,1,5,1
