trunkId, day1, day2, day3, day4, day5,
1385,13,0,0,0,0,
2811,47,49,55,50,47,
493,46,5,0,9,52,
1190,20,10,21,17,17,
1254,5,3,7,19,11,
2341,14,16,33,18,18,
1354,11,45,0,0,15,
1922,18,0,0,15,0,
104,9,0,14,0,0,
644,6,34,19,9,5,
1524,9,8,4,3,0,
1018,6,16,0,4,0,
709,18,17,20,21,4,
2194,14,26,0,0,0,
140,14,46,8,0,7,
2744,11,12,11,11,11,
1144,10,43,52,11,0,
1030,3,0,0,0,0,
2894,14,15,8,25,5,
1313,24,48,32,4,49,
2436,14,17,10,0,0,
116,10,16,32,9,16,
1897,9,0,9,9,7,
2334,6,0,7,9,0,
2726,22,0,5,0,0,
1448,6,0,31,22,0,
2040,24,18,18,36,21,
1761,3,3,24,15,7,
2547,21,0,7,0,10,
118,7,3,0,5,0,
1705,70,51,5,70,76,
1127,12,1,0,0,68,
1163,13,0,0,13,5,
2795,51,20,59,23,60,
2667,10,0,27,28,16,
5364,58,21,0,43,0,
877,5,0,0,7,7,
299,7,0,0,5,0,
1356,24,12,16,0,5,
1076,8,4,0,4,4,
1026,10,14,25,10,25,
1289,2,0,0,3,0,
1490,7,5,0,0,2,
2724,6,0,15,8,2,
161,21,17,12,0,17,
565,15,17,16,3,9,
2633,11,0,11,2,0,
1547,11,0,0,0,6,
517,10,20,6,4,3,
2448,10,0,10,0,0,
1395,5,0,0,0,0,
1264,9,7,17,5,7,
756,3,0,0,5,0,
988,12,19,12,10,0,
2875,3,0,0,0,0,
2290,5,13,36,6,11,
0,21,17,69,96,96,
1460,10,4,10,10,0,
2593,7,0,0,0,0,
122,2,2,0,0,0,
785,7,19,12,2,4,
713,6,9,0,0,0,
1249,4,0,9,0,13,
1066,10,24,9,35,5,
36,20,0,0,0,37,
863,12,0,0,0,0,
2339,17,19,15,9,2,
1443,17,35,28,16,23,
2518,2,11,0,0,0,
779,16,0,19,0,0,
497,21,32,11,7,0,
647,44,19,29,0,9,
1963,13,10,2,9,22,
2224,4,0,0,0,0,
2512,6,5,3,0,6,
355,2,7,0,2,0,
939,2,0,0,0,0,
2817,47,24,0,51,5,
1600,39,0,54,58,0,
365,14,10,0,14,0,
1189,33,12,16,8,49,
2821,31,3,22,36,37,
1020,4,0,5,0,15,
1272,9,0,5,23,8,
1764,6,15,42,0,49,
273,4,10,13,10,3,
2041,22,0,0,0,0,
2136,6,0,0,0,3,
2188,33,20,2,6,8,
22,2,0,0,0,0,
257,2,7,5,11,4,
654,8,0,0,0,0,
1162,13,0,0,10,16,
1229,70,0,0,0,0,
720,28,36,36,28,26,
2695,13,30,15,0,0,
2365,10,0,0,16,16,
1410,11,7,5,11,0,
2761,5,7,15,2,0,
924,6,0,0,6,9,
2541,6,6,0,19,22,
913,13,4,0,5,5,
1169,8,0,0,0,4,
2716,5,0,0,0,0,
79,2,17,4,22,14,
2611,11,16,22,22,32,
2268,48,0,0,0,0,
1406,8,0,0,3,0,
702,28,9,13,42,0,
2006,31,0,12,4,22,
1585,11,15,5,9,0,
684,42,16,21,36,51,
1119,5,0,0,0,0,
1292,7,8,7,6,6,
1846,11,0,0,0,0,
2133,4,0,0,0,0,
2689,6,0,0,0,15,
2174,2,0,0,8,7,
2876,7,0,6,7,4,
292,32,38,0,64,63,
550,20,44,56,0,63,
413,5,0,0,4,3,
1837,4,0,5,4,3,
508,12,12,5,19,14,
370,16,14,27,10,0,
1450,5,5,0,7,0,
357,6,6,0,4,0,
518,5,2,0,3,0,
326,2,0,0,0,0,
2482,7,0,27,0,33,
1296,19,28,0,41,42,
108,2,10,2,3,0,
418,8,0,0,0,5,
2552,6,11,10,10,8,
617,4,17,12,5,6,
1806,10,2,0,0,0,
124,17,6,18,5,13,
2713,2,0,0,0,0,
2520,2,0,0,7,8,
1983,3,4,3,4,0,
2132,16,7,0,0,1,
566,6,18,0,7,13,
1849,9,20,14,0,10,
744,5,2,6,7,7,
1120,10,7,5,23,8,
498,8,20,25,13,8,
2481,13,6,4,20,0,
1428,11,6,18,6,19,
922,9,0,0,3,0,
1647,5,16,0,0,17,
915,6,0,6,5,0,
143,12,9,4,18,33,
758,7,5,16,6,4,
57,12,0,0,2,0,
1529,3,7,0,4,0,
2698,30,0,0,0,0,
2854,20,0,18,9,8,
1504,4,0,0,0,0,
2283,19,35,12,63,40,
1126,9,5,10,0,0,
2864,13,0,0,4,9,
1672,5,3,4,2,0,
2409,5,5,0,4,0,
4653,13,0,0,0,10,
2220,4,4,38,2,5,
2805,9,0,0,0,6,
1210,11,24,8,28,5,
2893,6,0,0,0,0,
1446,18,14,14,15,11,
2666,12,0,14,11,0,
374,6,0,0,13,0,
379,24,0,5,0,27,
1338,14,0,10,13,20,
930,10,11,23,8,16,
596,2,0,0,0,2,
363,59,61,13,60,0,
2655,7,0,0,0,9,
1057,15,7,10,4,7,
1931,18,0,24,8,7,
169,33,45,34,23,56,
534,2,0,6,2,11,
2656,7,0,28,17,0,
2522,2,3,19,0,9,
526,2,0,26,0,0,
2332,40,38,0,40,39,
2348,2,0,5,15,5,
254,6,3,6,14,13,
349,7,0,9,0,7,
