"_id",trunkId,loadedFor,startIteration,wtCost,generation,endIteration,key,isLeaf,totalBranches,time,maxCost,costProb,maxTime,timeProb
608935684461b40390b5bb74,3827,7,6,178,0,10,3827-6,true,0,5,178,1,5,1
608935684461b40390b5bb75,8652,6,5,123,0,11,8652-5,true,0,7,123,1,7,1
608935684461b40390b5bb76,2085,2,11,85,0,11,2085-11,false,0,1,85,1,1,1
608935684461b40390b5bb77,2119,4,11,61,0,11,2119-11,true,0,1,61,1,1,1
608935684461b40390b5bb78,2697,13,12,62,0,12,2697-12,true,0,1,62,1,1,1
608935684461b40390b5bb79,4021,6,12,64,0,12,4021-12,true,0,1,64,1,1,1
608935684461b40390b5bb7a,2697,15,14,65,0,14,2697-14,true,0,1,65,1,1,1
608935684461b40390b5bb7b,1077,6,14,63,0,14,1077-14,true,0,1,63,1,1,1
608935684461b40390b5bb7c,8394,4,13,115,0,14,8394-13,true,0,2,115,1,2,1
608935684461b40390b5bb7d,4908,2,13,99,0,14,4908-13,false,0,2,99,1,2,1
608935684461b40390b5bb7e,6582,2,14,114,0,14,6582-14,true,0,1,114,1,1,1
608935684461b40390b5bb7f,521,6,10,149,0,15,521-10,true,0,6,149,1,6,1
608935684461b40390b5bb80,8138,6,12,119,1,15,8138-12,true,0,4,119,0.5833333333333334,4,0.8
608935684461b40390b5bb81,1391,3,15,79,0,15,1391-15,false,0,1,79,1,1,1
608935684461b40390b5bb82,7908,2,15,98,0,15,7908-15,false,0,1,98,1,1,1
608935684461b40390b5bb83,2071,5,15,80,1,15,2071-15,true,0,1,99,0.553072625698324,2,0.6666666666666666
608935684461b40390b5bb84,6698,2,14,255,0,15,6698-14,true,0,2,255,1,2,1
608935684461b40390b5bb85,1365,2,15,99,0,15,1365-15,true,0,1,99,1,1,1
608935684461b40390b5bb86,1405,7,6,151,1,16,1405-6,true,0,11,236,0.6098191214470284,11,0.6875
608935684461b40390b5bb87,4858,2,8,148,0,16,4858-8,false,0,9,148,1,9,1
608935684461b40390b5bb88,7528,8,16,75,1,16,7528-16,true,0,1,79,0.512987012987013,1,0.5
608935684461b40390b5bb89,6521,5,16,63,0,16,6521-16,true,0,1,63,1,1,1
608935684461b40390b5bb8a,6603,2,15,148,0,16,6603-15,true,0,2,148,1,2,1
608935684461b40390b5bb8b,810,5,12,140,0,17,810-12,true,0,6,140,1,6,1
608935684461b40390b5bb8c,7300,2,17,77,0,17,7300-17,true,0,1,77,1,1,1
608935684461b40390b5bb8d,6527,3,17,64,0,17,6527-17,true,0,1,64,1,1,1
608935684461b40390b5bb8e,168,2,17,89,0,17,168-17,false,0,1,89,1,1,1
608935684461b40390b5bb8f,1551,3,17,80,0,17,1551-17,true,0,1,80,1,1,1
608935684461b40390b5bb90,819,8,18,274,0,18,819-18,true,0,1,274,1,1,1
608935684461b40390b5bb91,1826,3,18,137,1,18,1826-18,true,0,1,137,0.6061946902654868,1,0.5
608935684461b40390b5bb92,8160,3,18,72,0,18,8160-18,true,0,1,72,1,1,1
608935684461b40390b5bb93,7669,10,9,160,0,19,7669-9,true,0,11,160,1,11,1
608935684461b40390b5bb94,3744,4,17,131,0,20,3744-17,true,0,4,131,1,4,1
608935684461b40390b5bb95,4803,14,13,103,0,21,4803-13,true,0,9,103,1,9,1
608935684461b40390b5bb96,7405,7,6,138,1,21,7405-6,true,0,16,186,0.5740740740740741,16,0.7619047619047619
608935684461b40390b5bb97,3028,4,3,345,0,22,3028-3,true,0,20,345,1,20,1
608935684461b40390b5bb98,8583,11,10,138,0,23,8583-10,false,0,14,138,1,14,1
608935684461b40390b5bb99,2085,7,16,459,1,23,2085-16,false,0,8,459,0.8240574506283662,8,0.8888888888888888
608935684461b40390b5bb9a,8521,3,23,117,0,23,8521-23,true,0,1,117,1,1,1
608935684461b40390b5bb9b,8219,2,23,101,0,23,8219-23,true,0,1,101,1,1,1
