trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
1366,21.4166666666667,854,44,27,57,32,9,3,12.1333333333333,1,3,27,3,27
2398,50.2333333333333,1894,21,7,902,861,59,19,11.2333333333333,1.23076923076923,4,6,19,6
2021,4.46666666666667,268,3,3,0,0,16,16,0.966666666666667,1,1,3,16,3
1161,66.5,705,56,9,473,176,52,6,42.4333333333333,1.66666666666667,11,6,6,9
1341,11.85,187,40,9,117,49,26,6,8.25,1.33333333333333,6,9,6,9
1236,5.73333333333333,189,8,5,31,31,11,6,3.53333333333333,1,2,5,5,3
1495,4.88333333333333,157,7,4,0,0,9,6,2.18333333333333,1,2,3,6,3
2531,33.7333333333333,958,52,17,222,94,48,13,25.4166666666667,1.5,7,17,13,17
626,53.7666666666667,940,92,17,283,102,133,51,56.5333333333333,1.5,9,17,20,9
671,24,676,67,23,67,29,40,11,17,1,7,23,4,6
2209,10.8166666666667,429,14,11,106,65,7,4,7.56666666666667,1.33333333333333,2,11,4,11
2487,13.0833333333333,198,28,9,26,18,43,13,5.78333333333333,1.2,5,2,12,6
541,71.7166666666667,2804,44,15,451,247,30,8,69.7666666666667,1.33333333333333,5,12,8,3
1015,19.1166666666667,283,52,12,71,32,60,16,9.28333333333333,1.23076923076923,8,6,16,7
1431,91.5666666666667,1770,162,51,130,40,45,15,72.7666666666667,1.16666666666667,7,41,5,45
1755,13.4333333333333,493,17,13,10,10,11,8,9.68333333333333,1.33333333333333,2,13,8,13
2899,2254.5,51762,78,25,10652,3024,85,39,2154.46666666667,1.21875,6,25,12,9
407,35.5,711,65,15,272,66,52,11,26.4833333333333,1.16666666666667,8,15,11,15
748,40.6833333333333,671,64,12,176,109,54,22,24.05,1.29411764705882,6,9,22,9
469,156.366666666667,2534,203,55,738,388,90,17,110.416666666667,1.13333333333333,8,54,11,53
842,99.7666666666667,1476,87,20,465,100,53,11,58.7166666666667,1.5,9,12,11,12
879,230.3,6579,58,21,1388,571,86,40,264.45,1.25,5,21,19,15
