linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
5353,186,55,2798,617,408,0,3,3
5355,186,55,2319,1388,408,0,3,3
1728,0,0,0,0,94,0,1,1
1507,0,0,0,0,94,0,1,1
1515,0,0,0,0,94,3,1,1
4695,279,216,1909,655,8459,0,1,3
5322,0,0,0,0,823,0,1,1
2752,0,0,0,0,823,0,1,1
2748,967,201,2018,1107,2009,0,4,4
3410,1135,530,2811,2010,5286,0,6,9
1751,769,397,2350,1514,4510,0,4,6
1750,769,397,2802,1809,4510,2,4,6
655,769,382,3167,2202,3847,240,5,7
1625,0,0,0,0,945,0,1,1
1125,71,71,1547,1547,20271,0,1,2
1124,71,71,1198,1198,20271,0,1,2
4102,0,0,0,0,945,0,1,1
1211,0,0,0,0,288,0,1,1
1215,0,0,0,0,288,0,1,1
4857,764,493,3295,2194,2732,0,4,5
1235,764,636,2744,1969,3390,0,5,7
974,161,161,937,937,165,0,2,2
1188,59,59,1321,1321,7614,0,1,2
4724,117,117,2769,2769,226,0,2,2
4722,839,458,2307,1734,10619,0,3,5
4017,648,470,4516,2312,2253,0,5,6
2735,925,648,2571,1546,3162,0,9,11
3273,262,89,1777,1045,384,0,3,3
1408,394,161,2298,1689,370,158,3,3
851,0,0,0,0,268,0,1,1
1908,240,154,2762,2253,695,36,3,5
4572,0,0,0,0,1417,0,1,1
1716,0,0,0,0,285,0,1,1
1717,0,0,0,0,285,0,1,1
1824,0,0,0,0,85,0,1,1
220,307,113,2283,717,463,0,3,3
3332,300,190,2001,968,71,0,3,3
1283,191,123,2321,908,337,0,3,3
1282,445,254,1213,556,471,42,4,4
270,0,0,0,0,71,0,1,1
1007,340,150,4660,2262,1543,111,6,7
4615,77,77,2871,2871,4565,0,1,2
2361,442,338,1898,1350,5642,46,4,4
1519,0,0,0,0,255,0,1,1
1345,200,133,2286,1839,539,205,3,3
1344,118,118,1023,1023,905,102,2,2
3145,118,118,867,867,905,0,2,2
2257,317,286,2960,1635,1536,596,1,3
2419,418,418,1774,1774,48229,0,1,2
2418,418,418,1527,1527,48229,0,1,2
2417,418,418,886,886,48229,0,1,2
2416,418,418,2590,2590,48229,141,1,2
4957,418,418,1257,1257,48229,0,1,2
2553,418,418,1888,1888,48229,849,1,2
4376,418,418,121,121,48229,0,1,2
4403,418,418,2689,2689,48229,0,1,2
4402,418,418,3148,3148,48229,0,1,2
2432,418,418,504,504,48229,5455,1,2
4702,418,418,1651,1651,48229,0,1,2
2259,418,418,1761,1761,48229,1065,1,2
2960,0,0,0,0,150,0,1,1
2420,0,0,0,0,2915,68,1,1
890,0,0,0,0,48229,36525,1,1
4162,0,0,0,0,1033,0,1,1
4480,0,0,0,0,1033,0,1,1
427,0,0,0,0,1033,0,1,1
426,0,0,0,0,1033,0,1,1
3187,0,0,0,0,2249,0,1,1
3285,0,0,0,0,48229,0,1,1
1886,0,0,0,0,48229,0,1,1
1885,0,0,0,0,48229,2491,1,1
4076,0,0,0,0,85124,0,1,1
2220,0,0,0,0,85124,6921,1,1
2695,0,0,0,0,85124,21923,1,1
4078,0,0,0,0,85124,0,1,1
4678,0,0,0,0,85124,0,1,1
4679,0,0,0,0,85124,0,1,1
515,0,0,0,0,85124,649,1,1
4945,0,0,0,0,140636,0,1,1
4944,0,0,0,0,140636,0,1,1
4683,0,0,0,0,235900,0,1,1
1065,1749,1749,2036,2036,236025,0,1,2
4000,0,0,0,0,140636,0,1,1
2696,0,0,0,0,85124,13872,1,1
3166,0,0,0,0,110761,0,1,1
1106,0,0,0,0,110761,9313,1,1
1105,1917,1917,957,957,87451,19173,1,2
1107,1917,1917,883,883,107793,4014,1,2
700,1917,1917,1553,1553,107793,2343,1,2
796,0,0,0,0,105466,4339,1,1
1910,0,0,0,0,116919,16490,1,1
914,0,0,0,0,85124,481,1,1
4184,0,0,0,0,140636,0,1,1
1994,1917,1917,4524,4524,142963,1370,2,2
699,0,0,0,0,105466,1112,1,1
2479,0,0,0,0,69,15,1,1
2478,0,0,0,0,69,54,1,1
3176,0,0,0,0,69,0,1,1
2357,657,444,2282,1986,6393,1893,3,6
3168,0,0,0,0,117852,0,1,1
4738,0,0,0,0,117852,0,1,1
2889,0,0,0,0,117852,0,1,1
2888,0,0,0,0,117852,0,1,1
698,0,0,0,0,105466,2095,1,1
4062,0,0,0,0,396,0,1,1
2733,521,313,3408,1701,402,91,3,3
4922,538,389,1843,1261,1045,0,4,5
2300,231,126,2641,1591,604,143,3,4
4279,0,0,0,0,95264,0,1,1
4278,0,0,0,0,95264,0,1,1
2919,0,0,0,0,95264,0,1,1
4600,0,0,0,0,95264,0,1,1
2301,0,0,0,0,55512,0,1,1
1896,0,0,0,0,271,0,1,1
1895,0,0,0,0,271,26,1,1
96,344,344,833,833,10627,3246,2,2
3723,0,0,0,0,105466,0,1,1
2574,1890,1890,479,479,105600,0,2,2
2573,1890,1890,3623,3623,105600,21,2,2
3336,0,0,0,0,111294,0,1,1
713,0,0,0,0,111294,136,1,1
4140,0,0,0,0,111294,0,1,1
4139,0,0,0,0,111294,0,1,1
2008,0,0,0,0,111294,0,1,1
2007,0,0,0,0,111294,0,1,1
2006,0,0,0,0,111294,151,1,1
4005,1890,1890,3306,3306,105600,0,2,2
1134,1890,1890,2463,2463,105600,104,2,2
3080,1890,1890,306,306,105600,0,2,2
3371,1890,1890,2555,2555,105600,0,2,2
4326,1418,1418,340,340,105953,0,2,2
600,1418,1418,706,706,105953,0,2,2
599,1418,1418,619,619,105953,0,2,2
598,1418,1418,1106,1106,105953,12,2,2
3254,225,225,1937,1937,922,0,2,2
180,225,224,2809,1902,1081,69,3,3
2137,0,0,0,0,662,33,1,1
2136,0,0,0,0,662,12,1,1
4721,0,0,0,0,103036,0,1,1
2015,0,0,0,0,103036,0,1,1
2014,0,0,0,0,103036,0,1,1
2013,0,0,0,0,103036,112,1,1
2012,0,0,0,0,103036,0,1,1
2011,0,0,0,0,103036,0,1,1
1064,1749,1749,1235,1235,200855,0,2,2
1063,1749,1749,1939,1939,200855,5,2,2
468,0,0,0,0,85468,40,1,1
4114,0,0,0,0,136,0,1,1
5365,0,0,0,0,6030,0,1,1
3077,1148,546,3400,1371,2900,0,7,9
235,1582,728,3494,2223,4404,2014,9,12
2010,0,0,0,0,103036,0,1,1
2009,0,0,0,0,103036,0,1,1
3750,0,0,0,0,103036,0,1,1
3749,0,0,0,0,103036,0,1,1
647,0,0,0,0,103036,3,1,1
4658,0,0,0,0,103036,0,1,1
900,0,0,0,0,103036,0,1,1
