trunkId, iteration, wTCost, branchesCount, splits, costOfThisIterOnly, loadedFor, avgK
559,2,72,5,1,0,2,1.25
1596,2,28,8,1,8,2,1.14285714285714
206,2,0,3,0,0,2,1
223,2,0,6,0,0,2,1
1416,2,113,6,1,65,2,1.2
229,2,0,8,0,0,2,1
241,2,0,4,1,0,2,1.33333333333333
1710,2,6,4,0,6,2,1
2613,2,126,17,2,81,2,1.13333333333333
975,2,99,15,3,47,2,1.25
268,2,0,17,4,0,2,1.30769230769231
1351,2,0,12,2,0,2,1.2
2523,2,27,6,0,7,2,1
363,2,16,4,1,4,2,1.33333333333333
1445,2,102,14,1,21,2,1.07692307692308
404,2,0,10,2,0,2,1.25
2413,2,236,10,2,40,2,1.25
2079,2,0,6,1,0,2,1.2
1542,2,0,72,8,0,2,1.125
454,2,49,3,0,19,2,1
464,2,14,8,2,7,2,1.33333333333333
500,2,0,2,0,0,2,1
1198,2,80,12,0,70,2,1
510,2,0,2,0,0,2,1
532,2,22,3,0,0,2,1
544,2,0,3,0,0,2,1
552,2,135,14,2,25,2,1.16666666666667
895,2,102,6,1,94,2,1.2
2275,2,0,7,2,0,2,1.4
591,2,0,4,0,0,2,1
604,2,29,3,0,4,2,1
618,2,26,6,0,26,2,1
797,2,113,17,3,102,2,1.21428571428571
2026,2,0,2,0,0,2,1
1184,2,0,6,0,0,2,1
1268,2,51,8,0,41,1,1
673,2,275,32,5,98,2,1.18518518518519
679,2,18,2,0,0,2,1
745,2,8,2,0,0,2,1
1332,2,24,6,2,20,2,1.5
1592,2,0,3,0,0,2,1
835,2,0,8,0,0,2,1
1163,2,18,2,0,0,2,1
848,2,31,12,3,2,2,1.33333333333333
851,2,49,2,0,21,2,1
2405,2,18,7,1,4,2,1.16666666666667
923,2,0,3,0,0,2,1
1726,2,6,17,3,0,2,1.21428571428571
2657,2,28,5,1,8,2,1.25
1034,2,0,4,0,0,2,1
2610,2,57,22,5,23,2,1.29411764705882
1778,2,151,6,0,31,2,1
1101,2,3,5,0,0,2,1
1626,2,0,4,0,0,2,1
1165,2,558,2,0,37,2,1
1172,2,0,2,0,0,2,1
1629,2,0,4,0,0,2,1
2561,2,30,5,0,0,2,1
1211,2,0,3,0,0,2,1
1213,2,0,2,0,0,2,1
1229,2,20,8,2,0,2,1.33333333333333
1980,2,77,8,1,27,2,1.14285714285714
1625,2,0,11,1,0,2,1.1
2674,2,12,5,1,4,2,1.25
1385,2,23,2,0,0,2,1
1424,2,0,2,0,0,2,1
1455,2,0,2,0,0,2,1
1463,2,0,2,0,0,2,1
1490,2,0,4,0,0,2,1
1869,2,0,5,0,0,2,1
2957,2,12,6,0,6,1,1
1955,2,93,14,1,57,1,1.07692307692308
639,2,90,12,3,29,2,1.33333333333333
2545,2,40,5,0,0,2,1
2113,2,0,5,1,0,2,1.25
2958,2,100,5,1,24,2,1.25
2268,2,0,3,0,0,2,1
1582,2,15,2,0,6,2,1
1605,2,10,5,0,5,2,1
2027,2,0,3,0,0,2,1
1621,2,0,3,0,0,2,1
2717,2,31,5,0,11,2,1
1644,2,0,4,0,0,2,1
1916,2,89,11,2,63,2,1.22222222222222
2692,2,0,9,1,0,2,1.125
2814,2,0,4,0,0,2,1
2816,2,0,4,0,0,2,1
2808,2,0,6,0,0,2,1
2835,2,21,5,0,7,2,1
2931,2,0,3,0,0,2,1
1804,2,0,3,0,0,2,1
360,2,26,4,1,13,2,1.33333333333333
1855,2,10,3,1,0,2,1.5
2851,2,30,4,0,14,2,1
1907,2,93,12,4,84,2,1.5
1966,2,56,4,1,10,2,1.33333333333333
2676,2,0,5,0,0,2,1
2067,2,0,2,0,0,2,1
2098,2,0,2,0,0,2,1
2100,2,10,2,0,0,2,1
2125,2,84,5,0,37,2,1
2137,2,2,4,1,0,2,1.33333333333333
2158,2,0,6,1,0,2,1.2
2173,2,6,4,1,0,2,1.33333333333333
2236,2,0,3,0,0,2,1
2247,2,0,3,0,0,2,1
2320,2,0,5,1,0,2,1.25
2382,2,0,2,0,0,2,1
2383,2,0,4,0,0,2,1
2394,2,10,2,0,0,2,1
2396,2,0,2,0,0,2,1
2414,2,0,4,0,0,2,1
