linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
14026,166,166,3033,3033,764,0,2,2
1322,0,0,0,0,441,0,1,1
6967,466,286,4277,3063,2064,12,7,8
12128,0,0,0,0,158,0,1,1
12130,109,109,1739,1739,364,0,2,2
6368,375,49,4293,2297,5934,1298,2,3
6687,375,49,4067,644,5467,0,2,3
15276,375,49,5410,1843,5467,0,2,3
10613,375,375,1205,1205,2013,0,1,2
10610,462,433,3330,2425,25720,0,2,3
10608,462,433,3465,2196,25720,0,2,3
14265,478,277,4911,2771,5196,0,3,4
14263,478,277,4454,1312,5196,0,3,4
61,478,277,2937,1787,5196,0,3,4
2722,0,0,0,0,332,162,1,1
1402,526,526,4485,4485,4230,316,1,2
17735,526,526,3798,3798,4230,0,1,2
17391,0,0,0,0,1011,0,1,1
6720,73,73,4892,4892,103,0,2,2
2,287,248,4043,3142,3116,0,2,3
7854,0,0,0,0,200,22,1,1
14782,0,0,0,0,2508,0,1,1
6054,0,0,0,0,2508,0,1,1
817,81,81,2573,2573,501,340,2,2
5802,0,0,0,0,234,84,1,1
1616,108,108,3050,3050,358,12,2,2
2179,300,197,5657,3276,546,0,5,5
1686,0,0,0,0,64,6,1,1
10719,144,144,1139,1139,833,0,2,2
729,215,138,2967,1842,396,35,3,3
83,23,23,2240,2240,773,602,2,2
81,23,23,462,462,773,0,2,2
80,23,23,812,812,751,31,2,2
2155,0,0,0,0,103,6,1,1
4332,0,0,0,0,613,510,1,1
17782,53,53,2796,2796,520,0,2,2
16625,53,53,2654,2654,520,0,2,2
6611,159,109,4863,2972,1576,500,3,5
335,159,129,3227,2141,15182,45,3,5
8519,338,111,3324,2273,3203,0,2,3
10203,0,0,0,0,147,0,1,1
11940,0,0,0,0,147,0,1,1
4364,0,0,0,0,147,0,1,1
727,78,78,3274,3274,396,0,2,2
725,78,78,1955,1955,396,71,2,2
12653,0,0,0,0,222,0,1,1
85,0,0,0,0,222,0,1,1
14236,0,0,0,0,152,0,1,1
5423,0,0,0,0,152,1,1,1
1279,204,204,3062,3062,563,0,2,2
1278,204,204,1674,1674,563,5,2,2
17063,68,68,1294,1294,898,0,2,2
11450,0,0,0,0,71,0,1,1
5238,222,55,4944,2620,230,70,3,3
1316,140,57,4980,4580,1975,577,2,4
14759,100,100,1234,1234,175,0,2,2
14757,100,100,3617,3617,175,0,2,2
14755,100,100,1680,1680,175,0,2,2
5748,392,114,4061,2409,1149,139,2,3
6416,344,221,3947,2047,8168,994,3,4
12427,49,49,1131,1131,793,0,2,2
3294,130,111,1369,588,995,0,3,3
16107,311,175,3622,3247,1487,0,2,3
9189,311,175,2861,1514,1487,0,2,3
9191,311,175,4325,2208,1487,0,2,3
11459,871,296,3878,2837,1628,0,3,4
2281,552,259,5484,2094,1318,0,5,6
8172,105,105,3841,3841,1281,473,2,2
2863,0,0,0,0,935,0,1,1
15893,435,276,4292,1556,1033,0,2,3
5230,0,0,0,0,71,6,1,1
11561,39,39,2405,2405,250,0,2,2
12113,0,0,0,0,73,0,1,1
9217,0,0,0,0,73,0,1,1
9219,0,0,0,0,73,0,1,1
17144,0,0,0,0,73,0,1,1
17219,539,387,4672,3096,1643,0,7,8
7622,721,366,5292,3457,3390,85,10,11
6608,696,387,5289,3346,2603,0,8,9
1574,232,123,3259,1707,444,30,5,5
5882,624,453,4633,3285,3232,0,3,7
4449,210,210,4015,4015,856,0,2,2
2803,69,69,4548,4548,156,19,1,2
