trunkId, day1, day2, day3, day4, day5,
51,283,172,319,246,577,
2618,102,0,0,0,0,
1397,308,84,0,0,0,
150,159,188,0,268,1670,
1905,98,616,2841,0,157,
559,234,381,8336,14112,12864,
2613,1475,800,378,113,334,
673,757,789,0,413,209,
1445,214,581,246,217,0,
2413,236,0,0,0,0,
552,449,0,0,407,97,
2835,123,0,0,0,0,
1778,523,0,0,0,0,
1279,183,0,0,0,0,
1704,93,609,0,0,0,
82,126,181,0,0,0,
1108,777,151,105,0,0,
1416,201,170,164,0,79,
975,409,0,0,0,0,
895,102,150,117,114,0,
797,113,159,0,129,0,
1980,211,67,0,77,0,
1916,89,0,0,0,0,
1907,139,0,0,0,0,
2125,84,1048,117,690,0,
1930,922,705,1347,658,400,
2305,89,0,0,1593,0,
2610,110,0,0,0,0,
1165,1330,437,246,0,754,
1403,597,1043,0,259,125,
2059,225,0,3312,6610,2746,
2189,132,82,1564,0,595,
2386,130,0,0,0,0,
791,76,0,0,0,0,
1644,68,0,0,0,0,
2172,17860,19890,18326,18670,120,
205,276,240,0,0,0,
1305,102,0,0,0,0,
71,322,114,459,646,593,
2717,141,0,0,0,0,
2757,141,0,0,0,0,
2783,83,0,0,0,0,
2931,62,0,0,0,0,
2306,870,1063,2839,1285,7383,
543,65,219,0,71,0,
364,1182,0,0,0,100,
676,100,434,0,0,0,
672,804,141,537,563,154,
1979,911,294,0,347,4454,
1455,130,0,0,0,0,
544,71,80,0,0,0,
317,276,0,0,505,0,
725,224,0,0,195,0,
464,280,651,263,0,0,
1097,99,1078,1086,92,0,
353,317,1411,0,0,128,
387,518,354,401,491,204,
2877,62,138,0,167,81,
157,142,202,2975,4853,0,
1045,5416,9440,1742,0,1478,
1786,263,226,980,83,91,
2460,99,238,298,390,0,
279,455,283,167,0,72,
2292,65,127,0,0,0,
229,2633,909,4862,308,0,
2690,75,0,0,0,0,
867,135,108,0,554,442,
253,100,0,120,0,157,
1771,710,81,86,0,939,
1170,136,0,0,0,1299,
1915,3706,484,2102,0,0,
126,97,701,643,534,0,
421,5379,1920,3969,0,114,
2331,771,0,1558,321,218,
1227,8600,0,0,0,0,
148,103,0,0,0,0,
829,180,79,531,2371,164,
1987,160,101,647,149,143,
1850,622,0,0,79,0,
1591,79,0,0,0,0,
547,2561,3661,2902,3093,3046,
136,120,0,95,0,0,
1023,3043,7545,3165,0,523,
2410,87,0,194,180,2073,
896,2051,293,699,0,138,
115,1397,5212,0,548,7929,
2477,697,1272,921,1052,1088,
753,560,1105,2441,2302,2318,
123,115,0,176,385,0,
2106,3689,2942,3260,3745,3225,
